sciName,TAXON_KEY_GBIF,sp,order,family,genus,specificEpithet,authoritySpeciesAuthor,biogeographicRealm,countryDistribution,iucnStatus
Lycalopex_fulvipes,2434330,Lycalopex fulvipes,CARNIVORA,CANIDAE,Lycalopex,fulvipes,W. Martin,Neotropic,Chile,EN
Lycalopex_griseus,2434328,Lycalopex griseus,CARNIVORA,CANIDAE,Lycalopex,griseus,J. E. Gray,Neotropic,Bolivia|Argentina|Chile|Peru?,LC
Lycalopex_gymnocercus,2434333,Lycalopex gymnocercus,CARNIVORA,CANIDAE,Lycalopex,gymnocercus,G. Fischer,Neotropic,Brazil|Bolivia|Paraguay|Uruguay|Argentina,LC
Lycalopex_sechurae,2434326,Lycalopex sechurae,CARNIVORA,CANIDAE,Lycalopex,sechurae,O. Thomas,Neotropic,Peru|Ecuador,NT
Lycalopex_vetulus,2434331,Lycalopex vetulus,CARNIVORA,CANIDAE,Lycalopex,vetulus,Lund,Neotropic,Brazil,NT
Speothos_venaticus,2434444,Speothos venaticus,CARNIVORA,CANIDAE,Speothos,venaticus,Lund,Neotropic,Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Argentina,NT
Urocyon_cinereoargenteus,2434566,Urocyon cinereoargenteus,CARNIVORA,CANIDAE,Urocyon,cinereoargenteus,von Schreber,"Nearctic, Neotropic",Canada|United States|Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela,LC
Vulpes_macrotis,5219311,Vulpes macrotis,CARNIVORA,CANIDAE,Vulpes,macrotis,Merriam,Nearctic,United States|Mexico,LC
Herpailurus_yagouaroundi,2435146,Herpailurus yagouaroundi,CARNIVORA,FELIDAE,Herpailurus,yagouaroundi,É. Geoffroy Saint-Hilaire,"Nearctic, Neotropic",United States?|Mexico|Guatemala|El Salvador|Belize|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Uruguay|Argentina|Uruguay?,LC
Leopardus_braccatus,2434927,Leopardus braccatus,CARNIVORA,FELIDAE,Leopardus,braccatus,Cope,Neotropic,Brazil|Paraguay|Bolivia|Argentina,NA
Leopardus_colocola,2434919,Leopardus colocola,CARNIVORA,FELIDAE,Leopardus,colocola,G. I. Molina,Neotropic,Chile,NT
Leopardus_emiliae,NA,Leopardus emiliae,CARNIVORA,FELIDAE,Leopardus,emiliae,O. Thomas,Neotropic,Brazil,NA
Leopardus_garleppi,NA,Leopardus garleppi,CARNIVORA,FELIDAE,Leopardus,garleppi,Matschie,Neotropic,Colombia?|Ecuador|Peru|Bolivia|Chile|Argentina,NA
Leopardus_geoffroyi,2434942,Leopardus geoffroyi,CARNIVORA,FELIDAE,Leopardus,geoffroyi,d’Orbigny & P. Gervais,Neotropic,Bolivia|Brazil|Paraguay|Uruguay|Argentina|Chile,LC
Leopardus_guigna,2434923,Leopardus guigna,CARNIVORA,FELIDAE,Leopardus,guigna,G. I. Molina,Neotropic,Chile|Argentina,VU
Leopardus_guttulus,7740958,Leopardus guttulus,CARNIVORA,FELIDAE,Leopardus,guttulus,Hensel,Neotropic,Brazil|Paraguay|Argentina,VU
Leopardus_jacobita,2434979,Leopardus jacobita,CARNIVORA,FELIDAE,Leopardus,jacobita,Cornalia,Neotropic,Peru|Bolivia|Argentina|Chile,EN
Leopardus_munoai,NA,Leopardus munoai,CARNIVORA,FELIDAE,Leopardus,munoai,Ximénez,Neotropic,Brazil|Uruguay|Argentina,NA
Leopardus_pajeros,2434935,Leopardus pajeros,CARNIVORA,FELIDAE,Leopardus,pajeros,Desmarest,Neotropic,Argentina|Chile,NA
Leopardus_pardalis,2434982,Leopardus pardalis,CARNIVORA,FELIDAE,Leopardus,pardalis,Linnaeus,Neotropic,United States|Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Argentina,LC
Leopardus_tigrinus,2434930,Leopardus tigrinus,CARNIVORA,FELIDAE,Leopardus,tigrinus,von Schreber,Neotropic,Costa Rica|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia,VU
Leopardus_wiedii,2434950,Leopardus wiedii,CARNIVORA,FELIDAE,Leopardus,wiedii,Schinz,Neotropic,United States?|Mexico|Guatemala|Belize|El Salvador|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Bolivia|Brazil|Paraguay|Uruguay|Argentina,NT
Lynx_rufus,2435246,Lynx rufus,CARNIVORA,FELIDAE,Lynx,rufus,von Schreber,Nearctic,Canada|United States|Mexico,LC
Puma_concolor,2435099,Puma concolor,CARNIVORA,FELIDAE,Puma,concolor,Linnaeus,"Nearctic, Neotropic",Canada|United States|Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Uruguay?|Chile|Argentina,LC
Panthera_onca,5219426,Panthera onca,CARNIVORA,FELIDAE,Panthera,onca,Linnaeus,"Nearctic, Neotropic",United States|Mexico|Guatemala|Belize|Honduras|El Salvador?|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Argentina|Uruguay?,NT
